"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000162496",1009.82993410169,0.555615343553475,0.0713532700402257,7.7868238307823,6.87146563225123e-15,9.47179480848012e-13,"DHRS3"
"ENSG00000103888",442.554354395283,0.847428940146854,0.109085018865854,7.76851806927742,7.94096794934764e-15,1.08149326371235e-12,"KIAA1199"
"ENSG00000158467",514.306260293179,0.496422260056212,0.0638957583844512,7.76925217898367,7.89508463444894e-15,1.08149326371235e-12,"AHCYL2"
"ENSG00000203697",295.595683711128,0.984212570493225,0.126780472111587,7.76312435267605,8.28622944074918e-15,1.12179763333571e-12,"CAPN8"
"ENSG00000008130",378.123578325208,0.445694815590368,0.057469475455112,7.75533119209499,8.81132147420084e-15,1.18582660123801e-12,"NADK"
"ENSG00000188070",218.299222412786,-0.583199824585888,0.0752366320865211,-7.75154081744669,9.07841539397065e-15,1.21458517482629e-12,"C11orf95"
"ENSG00000157833",52.1388304401949,-0.797578447525266,0.10308297599296,-7.73724700749555,1.01592567886999e-14,1.33604757611103e-12,"GAREML"
"ENSG00000174514",545.6758224628,0.659082785318205,0.0851835618408514,7.73720622940809,1.01625145386567e-14,1.33604757611103e-12,"MFSD4"
"ENSG00000179913",187.780435019052,0.884395383275338,0.114283101407655,7.7386365296532,1.00488603043828e-14,1.33604757611103e-12,"B3GNT3"
"ENSG00000181690",306.926180478149,-0.796363386098934,0.103025751075091,-7.72975084179195,1.07757279649593e-14,1.40852388985651e-12,"PLAG1"
"ENSG00000119411",110.298163729002,0.800231981784358,0.10375370547038,7.71280387680045,1.23083160252484e-14,1.59965908387571e-12,"BSPRY"
"ENSG00000119139",1016.97395476468,0.50946302250305,0.066063095291603,7.71176434065459,1.24090113316151e-14,1.60358269162645e-12,"TJP2"
"ENSG00000003147",227.415645301371,0.5684706663249,0.0737450774870763,7.70859134868389,1.27214047482285e-14,1.63466457397576e-12,"ICA1"
"ENSG00000136542",1062.30049749109,1.00202874635999,0.130186026407473,7.6968993832234,1.39407582499477e-14,1.78128430133039e-12,"GALNT5"
"ENSG00000041353",395.719079081491,0.953097767195969,0.123940982296474,7.6899323334077,1.47212864007758e-14,1.87050803295668e-12,"RAB27B"
"ENSG00000146205",46.4789501466704,1.16700403429594,0.151838563972196,7.68582107052617,1.52018848621604e-14,1.92084260724987e-12,"ANO7"
"ENSG00000100427",20.2513269589538,1.36627611199741,0.177873893724889,7.68115029915842,1.57666364094626e-14,1.98119546130839e-12,"MLC1"
"ENSG00000006016",40.5827179407086,1.18119567916553,0.154130432017014,7.6636110319547,1.80776842099456e-14,2.25911455863188e-12,"CRLF1"
"ENSG00000022355",26.8165499666818,-1.39193299069534,0.181710827524198,-7.66015437638124,1.85709716311036e-14,2.29637131059989e-12,"GABRA1"
"ENSG00000058091",307.389402845797,-0.56143635097671,0.073293534029602,-7.66010751712363,1.85777489074208e-14,2.29637131059989e-12,"CDK14"
"ENSG00000168309",264.780448329585,-0.920869171384837,0.120236693200697,-7.65880320617051,1.87673715124404e-14,2.30727079826457e-12,"FAM107A"
"ENSG00000109854",177.784785353085,0.797774855245866,0.104187474260757,7.65710908059087,1.90165108962611e-14,2.32188600702478e-12,"HTATIP2"
"ENSG00000129009",241.440891516753,-0.824541149819854,0.107690097774697,-7.6566106527725,1.90904275111517e-14,2.32188600702478e-12,"ISLR"
"ENSG00000115526",87.1148872722384,-0.631711901647137,0.0828938393062756,-7.62073402479396,2.52237208207584e-14,3.05153354440069e-12,"CHST10"
"ENSG00000171132",522.28675573454,-0.585087120941435,0.0768392231054365,-7.61443306289804,2.64851393182217e-14,3.18718523097161e-12,"PRKCE"
